artifact_label,dice,iou_jaccard_artifact,miou_binary_clean_artifact,precision,recall_sensitivity,f1_score,accuracy,specificity,hausdorff_boundary_seconds
hor_eyem,0.7629249562513805,0.6167167950778021,0.7732623827499827,0.7658003342542379,0.7600710900473934,0.7629249562513806,0.9369310734463276,0.9641828803922592,6.452
blink_hor_headm,0.6206884561891516,0.4499987395699412,0.7013624624952088,0.6023010999392672,0.6402338426224804,0.6206884561891516,0.9544865710560626,0.973893282952338,6.716
blink,0.5748019958126678,0.403313781049271,0.6448460090422692,0.918974293814474,0.4181844463717837,0.5748019958126679,0.8944819722650231,0.992418523086983,7.592
eyebrow,0.5629000058716458,0.3916916068273051,0.6606755506654783,0.9545228257081696,0.3991402460603285,0.5629000058716458,0.9327073446327684,0.9976841934478012,5.704
chew,0.5580790568654647,0.387038595647469,0.4601977093355218,0.9621860438453538,0.3930166280318311,0.5580790568654647,0.6395602905569008,0.9787502818722762,6.66
blink_eyebrow,0.5357775331450725,0.3659126569037657,0.6575755336632455,0.3890497926272619,0.8601946721311475,0.5357775331450725,0.9506830508474576,0.9537792735941664,6.892
hor_headm,0.3691650423219674,0.2263656666077241,0.5492741612400135,0.7908115404855057,0.2407835706523253,0.3691650423219673,0.8767906127770535,0.9887843749156652,6.22
tongue,0.3037213381781731,0.1790515585758605,0.5768984149235932,0.3078486156972314,0.2997032640949555,0.3037213381781732,0.974883615819209,0.9874543060504776,8.732
swallow_eyebrow,0.2159480605959713,0.1210435951030158,0.5337163055502422,0.1416466477396811,0.4542016806722689,0.2159480605959714,0.9467819209039549,0.9548603454612274,7.156
blink_ver_headm,0.1008386067808818,0.0530963861949395,0.4868764266290447,0.1490494296577946,0.0761934380345202,0.1008386067808818,0.9210079096045196,0.9731510451657484,9.636
ver_headm,0.0,0.0,0.4928572033898305,0.0,0.0,0.0,0.985714406779661,0.9929342165918288,8.14
