artifact_label,threshold,dice,iou_jaccard_artifact,iou_clean,miou_binary_clean_artifact,precision,recall_sensitivity,f1_score,accuracy,specificity,balanced_accuracy,negative_predictive_value,false_positive_rate,false_negative_rate,false_discovery_rate,matthews_corrcoef,cohen_kappa,artifact_prevalence,predicted_artifact_fraction,tp,fp,tn,fn,true_positive_samples,predicted_positive_samples,evaluated_channel_time_points,brier_score,binary_cross_entropy,auroc,average_precision_pr_auc,mean_predicted_probability,mean_probability_true_artifact,mean_probability_true_clean,hausdorff_boundary_samples,hausdorff_boundary_seconds,hausdorff_boundary_milliseconds
blink,0.35,0.6766847000433076,0.5113556081951544,0.9043294777817028,0.7078425429884286,0.924630384550356,0.5335971379011275,0.6766847000433076,0.9130360554699538,0.9910564876874378,0.7623268127942826,0.9117703155645276,0.0089435123125622,0.4664028620988725,0.075369615449644,0.6624354004430076,0.6305740264725284,0.1705516178736517,0.0984240369799691,147657,12036,1333744,129063,276720,159693,1622500,0.0762621588714996,0.2694218768282434,0.9784119573961908,0.9017221228085648,0.0884982495650928,0.4647372511877205,0.0111357857678796,1902.0,7.608,7608.0
blink_eyebrow,0.35,0.5560615082840029,0.3851005506634645,0.9558493359460049,0.6704749433047347,0.4224546277077013,0.8132684426229508,0.5560615082840029,0.9570372881355932,0.9619565979526014,0.887612520287776,0.9934017834191976,0.0380434020473986,0.1867315573770492,0.5775453722922986,0.5677871988601485,0.5358485307787234,0.0330847457627118,0.0636915254237288,15875,21703,548777,3645,19520,37578,590000,0.0303940762518784,0.101496807971296,0.9729513703300758,0.5295580977089089,0.0636455929724555,0.7381422375354603,0.0405664762604413,1542.0,6.168,6168.0
blink_hor_headm,0.35,0.614218641806421,0.443229112713047,0.9504706024567926,0.6968498575849198,0.5804286763062977,0.6521859981349974,0.614218641806421,0.9523494132985658,0.9708860381002584,0.811536018117628,0.978355459037688,0.0291139618997415,0.3478140018650025,0.4195713236937023,0.5900531916909983,0.5889167834501406,0.0581632333767926,0.0653538461538461,72737,52579,1753393,38791,111528,125316,1917500,0.0323844689543575,0.1159108187861681,0.9451165524957748,0.657585076553446,0.0696705352105493,0.5402163459424144,0.0406119267828973,1679.0,6.716,6716.0
blink_ver_headm,0.35,0.095186746397412,0.0499716947146312,0.9161971862955616,0.4830844405050964,0.1287798408488063,0.0754937023791012,0.095186746397412,0.9165649717514124,0.9684770716164078,0.5219853869977545,0.9443591783257684,0.0315229283835921,0.9245062976208988,0.8712201591511937,0.0567096048511928,0.0545623699297697,0.0581333333333333,0.0340790960451977,1942,13138,403638,23782,25724,15080,442500,0.0672211963843918,0.33921539218464,0.5553071987578629,0.0809691222296333,0.038371092495063,0.0723591496518635,0.0362733018777973,2352.0,9.408,9408.0
chew,0.35,0.6873573841316906,0.5236439650993698,0.3452761459653657,0.4344600555323678,0.6553044032119866,0.722707248296555,0.6873573841316906,0.6192842615012106,0.4769969212644445,0.5998520847804998,0.5556225626181,0.5230030787355555,0.277292751703445,0.3446955967880134,0.2052388719251758,0.2036396879027162,0.5790857142857143,0.6386489104116223,432111,227294,207300,165795,597906,659405,1032500,0.2545670013277953,0.7664767339423518,0.6694826368828289,0.7632563986449616,0.4822882971567878,0.5530994009751646,0.38486775329371,1977.0,7.908,7908.0
eyebrow,0.35,0.6682162694976889,0.5017453316130065,0.9403283283523092,0.7210368299826578,0.9277444888297084,0.5221495930220456,0.6682162694976889,0.9437107344632768,0.99504769775619,0.7585986453891178,0.9447497256079948,0.0049523022438099,0.4778504069779545,0.0722555111702914,0.6717526657385627,0.6400736227385083,0.1085581920903954,0.0610983050847457,50165,3907,785019,45909,96074,54072,885000,0.0503125075352516,0.190689147068938,0.9398865780302644,0.7818698235506352,0.0654667712297542,0.4573861671887179,0.0177395267893866,1434.0,5.736,5736.0
hor_eyem,0.35,0.7665414148015031,0.6214569536423841,0.9317687208174384,0.7766128372299113,0.7790069732082001,0.7544685172647257,0.766541414801503,0.9386418079096044,0.9670204997131084,0.860744508488917,0.9623495578551758,0.0329795002868916,0.2455314827352742,0.2209930267917999,0.7313553136656711,0.731231201582988,0.1335141242937853,0.1293084745762711,44574,12645,370775,14506,59080,57219,442500,0.0508499626613387,0.1813587209953768,0.9627555403314014,0.7936533863416686,0.1211657210518121,0.6655576299442757,0.0372820582867849,1619.0,6.476,6476.0
hor_headm,0.35,0.2971066841695455,0.1744716955593044,0.8658972290808151,0.5201844623200598,0.7697618527419707,0.1840777997603589,0.2971066841695456,0.869593220338983,0.9903048569556994,0.5871913283580291,0.8733003577909452,0.0096951430443006,0.8159222002396411,0.2302381472580292,0.3348714629621805,0.2539955735661878,0.1497241199478487,0.0358044328552803,52848,15807,1614597,234248,287096,68655,1917500,0.1163934309643757,0.4763896259242688,0.8788266342943936,0.5833684819163315,0.0400464040969878,0.1766954230489647,0.0159840325957913,1645.0,6.58,6580.0
swallow_eyebrow,0.35,0.198618111797021,0.1102587480743232,0.9355342795898796,0.5228965138321015,0.1244764676652232,0.4911764705882352,0.198618111797021,0.936045197740113,0.9433411429621462,0.7172588067751907,0.9912315423120924,0.0566588570378537,0.5088235294117647,0.8755235323347768,0.2242257085260451,0.1774401561677621,0.0161355932203389,0.0636700564971751,3507,24667,410693,3633,7140,28174,442500,0.0402700393359829,0.136954771823767,0.907851104839216,0.1284152787359409,0.068673485440499,0.4240363369005339,0.062845456316499,1945.0,7.78,7780.0
tongue,0.35,0.3482895137549487,0.2108659578391002,0.9707563048176938,0.590811131328397,0.2954193215085242,0.4242087042532146,0.3482895137549487,0.9709830508474576,0.9811630433781756,0.7026858738156951,0.989192036872862,0.0188369566218244,0.5757912957467853,0.7045806784914758,0.339666606752572,0.333936435679204,0.0182779661016949,0.0262463276836158,3431,8183,426229,4657,8088,11614,442500,0.0180793044635613,0.0655817467288233,0.9394009838877856,0.2454517267843904,0.0303481474751898,0.3335323480660602,0.0247033821041159,2184.0,8.736,8736.0
