artifact_label,performance_band,dice,iou_jaccard_artifact,precision,recall_sensitivity,average_precision_pr_auc,hausdorff_boundary_seconds,interpretation
hor_eyem,strong,0.7665414148015031,0.6214569536423841,0.7790069732082001,0.7544685172647257,0.7936533863416686,6.476,"Best class: spatially broad, sustained horizontal eye movement pattern; high precision and high recall."
chew,strong,0.6873573841316906,0.5236439650993698,0.6553044032119866,0.722707248296555,0.7632563986449616,7.908,"Clear high-amplitude artifact morphology; very high precision, but recall below precision means the model detects confident cores more than full duration."
blink,strong,0.6766847000433076,0.5113556081951544,0.924630384550356,0.5335971379011275,0.9017221228085648,7.608,"Clear high-amplitude artifact morphology; very high precision, but recall below precision means the model detects confident cores more than full duration."
eyebrow,strong,0.6682162694976889,0.5017453316130065,0.9277444888297084,0.5221495930220456,0.7818698235506352,5.736,"Clear high-amplitude artifact morphology; very high precision, but recall below precision means the model detects confident cores more than full duration."
blink_hor_headm,strong,0.614218641806421,0.443229112713047,0.5804286763062977,0.6521859981349974,0.657585076553446,6.716,"Mixed artifact label; detected moderately well, but overlap is harder because the event combines multiple sources."
blink_eyebrow,moderate,0.5560615082840029,0.3851005506634645,0.4224546277077013,0.8132684426229508,0.5295580977089089,6.168,"Mixed artifact label; detected moderately well, but overlap is harder because the event combines multiple sources."
tongue,weak,0.3482895137549487,0.2108659578391002,0.2954193215085242,0.4242087042532146,0.2454517267843904,8.736,Shorter or less stereotyped artifact pattern; more false positives/missed boundary portions reduce Dice.
hor_headm,weak,0.2971066841695455,0.1744716955593044,0.7697618527419707,0.1840777997603589,0.5833684819163315,6.58,"Head-movement/vertical movement labels are weakest; likely more variable, lower sample support, and harder to separate from baseline drift."
swallow_eyebrow,weak,0.198618111797021,0.1102587480743232,0.1244764676652232,0.4911764705882352,0.1284152787359409,7.78,Shorter or less stereotyped artifact pattern; more false positives/missed boundary portions reduce Dice.
blink_ver_headm,weak,0.095186746397412,0.0499716947146312,0.1287798408488063,0.0754937023791012,0.0809691222296333,9.408,"Head-movement/vertical movement labels are weakest; likely more variable, lower sample support, and harder to separate from baseline drift."
ver_headm,weak,0.0,0.0,0.0,0.0,0.0147844230772645,8.108,"Head-movement/vertical movement labels are weakest; likely more variable, lower sample support, and harder to separate from baseline drift."
