sample_in_window,time_seconds_in_window,absolute_time_seconds_in_recording,Fpz,Fp1,Fp2,AF3,AF4,AF7,AF8,Fz,F1,F2,F3,F4,F5,F6,F7,F8,FCz,FC1,FC2,FC3,FC4,FC5,FC6,FT7,FT8,Cz,C1,C2,C3,C4,C5,C6,T7,T8,CP1,CP2,CP3,CP4,CP5,CP6,TP7,TP8,Pz,P3,P4,P5,P6,P7,P8,POz,PO3,PO4,PO5,PO6,PO7,PO8,Oz,O1,O2
0,0.0,306.0,-17419.52,-29668.754,-19227.93,-9220.042,-22211.13,-20499.68,-18151.604,6692.6133,-13135.257,3576.3757,-942.39435,-26230.82,-16604.758,-11931.153,-23742.941,-17980.232,536.80383,-6318.017,-7952.802,-1266.3448,-19933.705,9228.597,-30155.057,1671.0061,-32824.08,-15674.998,-161.45589,9325.557,-1010.79224,-20723.664,7269.11,-6469.0938,-3152.9238,-25470.928,2926.9717,-5104.894,-973.96265,-3243.119,-5228.9126,2325.6716,-29340.295,-34430.3,-24681.723,-6965.1665,-1594.0533,-29383.889,-1626.3732,-29943.098,-36113.188,-32813.555,-33823.74,-36269.527,-33673.414,-29552.252,-29613.887,-32658.719,-32070.197,-30183.617,-33924.457
1,0.004,306.004,-17424.781,-29674.768,-19229.434,-9223.048,-22213.385,-20504.19,-18153.105,6691.862,-13138.264,3574.8726,-945.4009,-26229.318,-16609.268,-11928.147,-23748.955,-17985.494,536.0522,-6318.7686,-7953.553,-1268.5997,-19932.955,9224.087,-30153.553,1661.9866,-32824.83,-15674.998,-162.20752,9324.805,-1013.0471,-20723.664,7266.1035,-6469.845,-3158.1853,-25469.426,2926.9717,-5105.646,-973.96265,-3244.622,-5231.1675,2325.6716,-29340.295,-34432.555,-24681.723,-6965.1665,-1594.8049,-29384.64,-1626.3732,-29942.346,-36116.945,-32813.555,-33823.74,-36270.277,-33674.918,-29553.004,-29609.377,-32658.719,-32067.941,-30180.611,-33922.953
2,0.008,306.008,-17422.527,-29680.03,-19224.924,-9221.545,-22212.633,-20504.19,-18149.348,6692.6133,-13138.264,3576.3757,-944.64923,-26236.834,-16607.766,-11935.663,-23748.955,-17979.48,536.80383,-6318.017,-7952.0503,-1267.0964,-19933.705,9226.342,-30146.787,1664.9932,-32827.082,-15675.75,-162.20752,9326.308,-1012.29553,-20725.168,7266.1035,-6469.845,-3156.682,-25467.17,2926.9717,-5106.3975,-973.96265,-3246.1252,-5231.1675,2327.1748,-29341.047,-34431.805,-24683.225,-6967.4214,-1595.5566,-29386.143,-1626.3732,-29943.85,-36117.7,-32816.56,-33825.992,-36273.285,-33680.176,-29552.252,-29610.879,-32656.465,-32067.19,-30185.121,-33922.953
3,0.012,306.012,-17418.018,-29674.016,-19223.42,-9216.283,-22208.123,-20498.176,-18146.342,6694.868,-13134.505,3578.6306,-941.64276,-26235.33,-16604.006,-11932.657,-23744.445,-17976.475,538.30707,-6315.762,-7950.547,-1264.09,-19933.705,9228.597,-30152.8,1668.7512,-32811.3,-15675.75,-160.70427,9327.06,-1010.04065,-20725.168,7268.3584,-6465.3354,-3154.427,-25465.666,2926.9717,-5104.1426,-973.96265,-3246.1252,-5231.1675,2328.6782,-29340.295,-34429.547,-24685.48,-6968.173,-1594.0533,-29390.652,-1624.87,-29945.352,-36115.44,-32817.312,-33828.246,-36272.53,-33684.688,-29552.252,-29613.135,-32658.719,-32070.95,-30190.383,-33923.703
4,0.016,306.016,-17420.271,-29671.01,-19224.172,-9217.035,-22209.627,-20498.928,-18148.596,6694.1167,-13135.257,3577.8792,-941.64276,-26233.828,-16604.758,-11932.657,-23738.432,-17977.227,539.0587,-6316.514,-7950.547,-1265.5931,-19933.705,9228.597,-30150.547,1667.9996,-32816.56,-15674.998,-161.45589,9325.557,-1010.04065,-20724.416,7268.3584,-6467.5903,-3152.9238,-25467.17,2927.7234,-5105.646,-972.4594,-3244.622,-5231.1675,2329.4297,-29338.04,-34431.05,-24684.729,-6965.918,-1595.5566,-29388.398,-1625.6216,-29940.842,-36113.188,-32813.555,-33824.49,-36271.78,-33679.426,-29552.252,-29608.625,-32657.967,-32064.936,-30183.617,-33919.945
5,0.02,306.02,-17419.52,-29662.742,-19219.662,-9215.532,-22208.123,-20494.418,-18147.094,6694.868,-13132.25,3577.1274,-938.6362,-26227.814,-16601.0,-11929.65,-23730.916,-17975.723,539.0587,-6315.0107,-7951.2983,-1263.3383,-19931.451,9229.349,-30149.795,1670.2545,-32814.305,-15671.991,-159.95264,9326.308,-1009.289,-20722.16,7270.6133,-6465.3354,-3150.669,-25463.412,2927.7234,-5105.646,-972.4594,-3242.3672,-5228.9126,2329.4297,-29337.287,-34428.797,-24684.729,-6966.6694,-1595.5566,-29386.143,-1626.3732,-29942.346,-36112.438,-32815.81,-33826.746,-36270.277,-33676.418,-29553.756,-29610.127,-32658.719,-32067.19,-30188.127,-33924.457
6,0.024,306.024,-17419.52,-29668.754,-19219.662,-9214.028,-22208.875,-20495.17,-18147.846,6694.868,-13133.754,3577.1274,-939.3879,-26232.324,-16601.0,-11930.402,-23730.916,-17974.97,539.0587,-6315.762,-7951.2983,-1261.8351,-19932.203,9230.1,-30153.553,1670.2545,-32817.312,-15672.743,-159.95264,9326.308,-1008.5374,-20723.664,7271.3647,-6465.3354,-3149.1658,-25464.164,2929.2266,-5105.646,-971.70776,-3243.119,-5228.1606,2328.6782,-29338.791,-34429.547,-24684.729,-6965.918,-1594.8049,-29386.143,-1626.3732,-29940.092,-36117.7,-32815.06,-33824.49,-36271.03,-33677.17,-29552.252,-29607.873,-32658.719,-32064.184,-30185.121,-33925.207
7,0.028,306.028,-17415.762,-29671.762,-19222.668,-9213.277,-22205.117,-20498.928,-18146.342,6696.3716,-13131.499,3578.6306,-938.6362,-26238.338,-16599.496,-11929.65,-23733.172,-17976.475,541.3136,-6315.0107,-7949.7954,-1261.0834,-19933.705,9233.106,-30158.814,1673.261,-32824.83,-15674.998,-159.20102,9326.308,-1007.0341,-20728.174,7272.1167,-6469.845,-3146.1592,-25470.176,2929.2266,-5107.149,-970.2045,-3244.622,-5226.6577,2326.4233,-29337.287,-34433.305,-24684.729,-6965.1665,-1596.3082,-29389.902,-1627.8765,-29939.34,-36122.207,-32815.06,-33826.746,-36272.53,-33682.434,-29553.004,-29608.625,-32660.975,-32068.693,-30187.375,-33926.71
8,0.032,306.032,-17417.266,-29676.271,-19224.924,-9215.532,-22207.371,-20498.176,-18145.59,6695.62,-13133.002,3578.6306,-940.1395,-26236.834,-16600.248,-11928.147,-23739.184,-17976.475,539.0587,-6315.0107,-7949.7954,-1262.5867,-19932.955,9233.858,-30153.553,1673.261,-32823.324,-15675.75,-159.20102,9327.06,-1007.78577,-20726.67,7273.6196,-6466.0874,-3146.1592,-25468.674,2929.2266,-5107.149,-970.2045,-3243.119,-5225.906,2327.1748,-29334.281,-34434.06,-24685.48,-6963.663,-1596.3082,-29388.398,-1627.1249,-29936.334,-36120.703,-32812.8,-33823.74,-36271.78,-33678.676,-29552.252,-29604.115,-32659.47,-32067.19,-30182.865,-33922.953
9,0.036,306.036,-17416.514,-29671.01,-19221.166,-9214.028,-22207.371,-20498.176,-18152.355,6694.1167,-13135.257,3577.8792,-940.8911,-26236.082,-16600.248,-11936.415,-23736.93,-17978.729,539.0587,-6317.2656,-7949.7954,-1261.8351,-19929.197,9231.604,-30152.8,1672.5094,-32816.56,-15676.501,-161.45589,9327.812,-1007.78577,-20721.408,7273.6196,-6466.0874,-3146.1592,-25467.17,2929.9783,-5105.646,-970.9561,-3241.6155,-5224.403,2328.6782,-29332.777,-34431.05,-24683.977,-6963.663,-1593.3018,-29383.889,-1626.3732,-29932.574,-36117.7,-32812.05,-33820.73,-36270.277,-33674.164,-29551.5,-29602.611,-32657.967,-32061.178,-30177.605,-33919.945
