sample_in_window,time_seconds_in_window,absolute_time_seconds_in_recording,prob_Fpz,prob_Fp1,prob_Fp2,prob_AF3,prob_AF4,prob_AF7,prob_AF8,prob_Fz,prob_F1,prob_F2,prob_F3,prob_F4,prob_F5,prob_F6,prob_F7,prob_F8,prob_FCz,prob_FC1,prob_FC2,prob_FC3,prob_FC4,prob_FC5,prob_FC6,prob_FT7,prob_FT8,prob_Cz,prob_C1,prob_C2,prob_C3,prob_C4,prob_C5,prob_C6,prob_T7,prob_T8,prob_CP1,prob_CP2,prob_CP3,prob_CP4,prob_CP5,prob_CP6,prob_TP7,prob_TP8,prob_Pz,prob_P3,prob_P4,prob_P5,prob_P6,prob_P7,prob_P8,prob_POz,prob_PO3,prob_PO4,prob_PO5,prob_PO6,prob_PO7,prob_PO8,prob_Oz,prob_O1,prob_O2
0,0.0,306.0,0.031798206,0.66182685,0.63700056,0.010600204,0.0033445307,0.0073319874,0.024540307,0.09471249,0.005619789,0.011186387,0.23651642,0.20316432,0.010383546,0.010898832,0.19995363,0.45291573,0.063248515,0.0037831152,0.012411324,0.04930096,0.021793779,0.004741101,0.0077933944,0.04868398,0.11535495,0.012569309,0.0061826007,0.017653301,0.040817283,0.03125105,0.018422795,0.023624958,0.08568161,0.08846642,0.02751366,0.016897192,0.017284343,0.010567388,0.004986908,0.008267421,0.03416159,0.028685102,0.009781632,0.010431285,0.021822158,0.02998467,0.013509647,0.008581898,0.023957161,0.030407172,0.019291118,0.005648919,0.014763107,0.021716157,0.008863917,0.011189759,0.010434273,0.018593788,0.023714341
1,0.004,306.004,0.017454134,0.74071974,0.7669625,0.007640908,0.0015244314,0.004728304,0.013351284,0.07013054,0.0029611504,0.005095047,0.1971871,0.14777142,0.0040391325,0.004768295,0.17563519,0.51897806,0.037461843,0.0014756162,0.0059054815,0.025542963,0.007803872,0.0016585268,0.0039710794,0.029613947,0.082071036,0.0060251663,0.0028283643,0.009173353,0.022531321,0.013550092,0.00973644,0.011881845,0.07544913,0.097093284,0.021383028,0.008887142,0.010047146,0.0070894733,0.0031901926,0.004941499,0.024160203,0.01324436,0.0056795776,0.007361845,0.015434795,0.019944955,0.0066313716,0.0053748493,0.017234424,0.015721356,0.00985939,0.0023816219,0.0056118537,0.010458486,0.0047997525,0.00681024,0.005264674,0.013360703,0.018636871
2,0.008,306.008,0.010226878,0.7555735,0.8235356,0.006113804,0.0009003969,0.0025550604,0.007473394,0.10893926,0.0018688267,0.0024941012,0.1835787,0.1306309,0.002584497,0.0026900377,0.20238607,0.58490276,0.027034927,0.0006332826,0.0032065546,0.011524212,0.003593734,0.0008508911,0.0022743563,0.02010257,0.05162217,0.0036491046,0.001697101,0.0050991527,0.0109769525,0.006999406,0.007434229,0.0068184887,0.06446253,0.10816103,0.016483158,0.004769479,0.006494777,0.005977924,0.0023856165,0.0034739177,0.018788029,0.008870873,0.0037176674,0.0067775273,0.016965417,0.016139185,0.0046432475,0.003841429,0.012505866,0.009933642,0.0066228895,0.001565859,0.0031351757,0.0059852325,0.0023324369,0.004148544,0.002884402,0.007790099,0.0149192745
3,0.012,306.012,0.009133121,0.8277759,0.8678168,0.0045003747,0.0006757041,0.0015759794,0.004507175,0.1707419,0.0010931372,0.0014824247,0.259995,0.16765745,0.0014085082,0.0015074407,0.26899317,0.69346184,0.024869813,0.00023660639,0.0023951137,0.0062619606,0.0017150849,0.00039024322,0.0014681498,0.0151041625,0.04778308,0.0022339171,0.0008684682,0.0033543874,0.005994099,0.0045161247,0.004366441,0.0034406453,0.063182175,0.1618608,0.014356882,0.0024013345,0.00397664,0.0039050295,0.001579536,0.0028132093,0.016773509,0.0063921595,0.0027982353,0.007739195,0.01667887,0.013280529,0.0043166056,0.0026563434,0.00935711,0.011132182,0.009911236,0.0017446779,0.0033371225,0.0049767015,0.0015645743,0.0038931393,0.0021006134,0.0046283538,0.011486705
4,0.016,306.016,0.004443262,0.87213445,0.89972,0.003133726,0.00035877476,0.0017564353,0.004708665,0.26173365,0.00046155305,0.0008653129,0.6056487,0.25149778,0.00115342,0.00097671,0.46106485,0.898444,0.067639105,9.0200796e-05,0.002174181,0.0063428096,0.0011263588,0.00025501638,0.0015562715,0.016425474,0.06557984,0.0016837479,0.0006130137,0.0047739763,0.009877207,0.0050724824,0.0037304976,0.0021590197,0.097114325,0.3184866,0.015792519,0.0013401583,0.0024736454,0.0025381213,0.0012890821,0.002279759,0.018004993,0.0055413335,0.0037573501,0.012626055,0.019548856,0.017188402,0.0065398505,0.0033358955,0.010118971,0.016969005,0.029620202,0.0074190055,0.008759984,0.00950007,0.0020297156,0.0056833248,0.0018022156,0.0033076417,0.009229549
5,0.02,306.02,0.0033395467,0.8749135,0.9143142,0.0025849456,0.00024098957,0.0016580146,0.004038772,0.33049297,0.00024218459,0.0006381971,0.59732354,0.20868324,0.0010594951,0.00074829353,0.5074471,0.9161926,0.111597046,5.842884e-05,0.0015481287,0.004616618,0.00079865614,0.00019066132,0.000904707,0.012617646,0.044783246,0.0021218501,0.00047534998,0.004459567,0.010890852,0.0047850036,0.004163345,0.0019647465,0.11507668,0.36729643,0.016729778,0.0013441894,0.00243882,0.0022674075,0.001139668,0.001961839,0.020693464,0.007221959,0.0051280307,0.014227929,0.022481555,0.02484401,0.009925705,0.0037829678,0.012212016,0.020890296,0.036315255,0.011303086,0.009853829,0.01060297,0.0024194506,0.0054123336,0.0019014368,0.0037098976,0.0098432405
6,0.024,306.024,0.0023562752,0.8643404,0.91812974,0.0026464853,0.00016915136,0.0012955737,0.0035338402,0.3799468,0.00013852447,0.00043488227,0.5490746,0.17739421,0.00082514784,0.00047246044,0.5597324,0.9223432,0.11479607,3.8282702e-05,0.0012872601,0.0039873533,0.0006909898,0.00014326382,0.00059013895,0.014136117,0.037246816,0.0029360221,0.0003549564,0.0034163746,0.010672304,0.005189922,0.004961539,0.0019989137,0.11401119,0.3912065,0.021105045,0.0013465643,0.0022518258,0.0018974891,0.0010321066,0.0018388701,0.021282729,0.009213561,0.005797432,0.01333463,0.02590521,0.02987273,0.01183524,0.0047598574,0.014433147,0.018986512,0.026328703,0.010860029,0.008248302,0.0084541645,0.001972451,0.004375034,0.0015742749,0.003091011,0.00825437
7,0.028,306.028,0.0020020306,0.8602728,0.9173177,0.002895386,0.0001569593,0.0010647684,0.0035656334,0.40752885,9.962205e-05,0.00035259334,0.43957028,0.13807175,0.0006173866,0.0004192001,0.6395637,0.91808754,0.08897014,2.7910017e-05,0.0012487915,0.0030590931,0.0006137278,0.00011475772,0.0005930634,0.019333338,0.036229536,0.0032029143,0.00030299334,0.0032963224,0.009038729,0.005360262,0.0038390225,0.001722504,0.11656919,0.41257596,0.024295786,0.00097131194,0.0021432105,0.0019057284,0.0010888505,0.0018991604,0.01769379,0.0078608375,0.005660303,0.0141006345,0.020618554,0.020999817,0.009520633,0.0049911756,0.0126560265,0.010055141,0.012915055,0.007602181,0.005002365,0.0055823335,0.0012388604,0.0029641136,0.0011493608,0.0026482064,0.007820557
8,0.032,306.032,0.0020446319,0.8583316,0.9132406,0.0032131425,0.00016289492,0.0008653557,0.0034783876,0.4214355,9.4311414e-05,0.00035228007,0.32324493,0.10679848,0.0004649927,0.00047020998,0.7062844,0.9068879,0.056298725,2.1418644e-05,0.0011944335,0.001954368,0.0004831246,9.1576825e-05,0.00075684674,0.023929903,0.03593623,0.0032021273,0.00028698018,0.0038751701,0.0071284855,0.004624224,0.0024880287,0.0014222425,0.1130586,0.40341505,0.020462045,0.00058397214,0.0021168503,0.0019852293,0.0010533896,0.0016959315,0.012297902,0.005386493,0.0042285244,0.011445348,0.012488717,0.009697595,0.0052771093,0.003947572,0.008827899,0.004289161,0.005581833,0.005484466,0.003326463,0.0038487983,0.0008213178,0.002363856,0.0009746695,0.0027014767,0.0078287
9,0.036,306.036,0.0020723457,0.85992104,0.9125797,0.0032175118,0.00017420863,0.0007854212,0.0032697625,0.43534964,0.00010132667,0.00032720945,0.22954577,0.08003252,0.0003692922,0.00050345913,0.6973344,0.8899173,0.036275703,1.7690521e-05,0.0009770017,0.0011370985,0.00032537873,7.759107e-05,0.00082002894,0.02266575,0.03095999,0.0031278774,0.0003194234,0.0042733406,0.005853747,0.003911729,0.002227014,0.0013847181,0.08727957,0.35550228,0.018804282,0.00048898126,0.0019721857,0.0020030043,0.00093164394,0.0014098716,0.009235137,0.0042148894,0.0030377414,0.008703741,0.010768184,0.006237546,0.003693539,0.0035206154,0.0079131555,0.0029379493,0.0036198688,0.0048833964,0.00276155,0.0034970483,0.00079228467,0.0023235749,0.0009015791,0.0025722648,0.007859498
