source,channel,channel_index,start_sample_in_window,stop_sample_in_window_exclusive,start_seconds_in_window,end_seconds_in_window,start_seconds_in_recording,end_seconds_in_recording,duration_seconds,threshold,mean_probability,max_probability,samples
model_prediction,Fp1,1,0,2479,0.0,9.916,306.0,315.916,9.916,0.35,0.9436148405075073,0.9929078817367554,2479
model_prediction,Fp2,2,0,2499,0.0,9.996,306.0,315.996,9.996,0.35,0.9431617259979248,0.9921820163726807,2499
model_prediction,Fz,7,6,127,0.024,0.508,306.024,306.508,0.484,0.35,0.673503041267395,0.9284424185752869,121
model_prediction,Fz,7,156,322,0.624,1.288,306.624,307.288,0.664,0.35,0.8035319447517395,0.9395268559455872,166
model_prediction,Fz,7,330,2405,1.32,9.62,307.32,315.62,8.3,0.35,0.8792076110839844,0.9717075228691101,2075
model_prediction,Fz,7,2440,2464,9.76,9.856,315.76,315.856,0.096,0.35,0.4533257782459259,0.5409157276153564,24
model_prediction,F3,10,25,128,0.1,0.512,306.1,306.512,0.412,0.35,0.7676699161529541,0.9228052496910095,103
model_prediction,F3,10,154,2410,0.616,9.64,306.616,315.64,9.024,0.35,0.9203104972839355,0.9871620535850525,2256
model_prediction,F3,10,2450,2465,9.8,9.86,315.8,315.86,0.06,0.35,0.5194106698036194,0.5997838377952576,15
model_prediction,F4,11,27,130,0.108,0.52,306.108,306.52,0.412,0.35,0.7576462626457214,0.9057686924934387,103
model_prediction,F4,11,153,2409,0.612,9.636,306.612,315.636,9.024,0.35,0.910281240940094,0.9794430136680603,2256
model_prediction,F4,11,2447,2465,9.788,9.86,315.788,315.86,0.072,0.35,0.548575758934021,0.6454890370368958,18
model_prediction,F7,14,4,2419,0.016,9.676,306.016,315.676,9.66,0.35,0.9635677337646484,0.9943371415138245,2415
model_prediction,F7,14,2472,2487,9.888,9.948,315.888,315.948,0.06,0.35,0.4723222851753235,0.555117666721344,15
model_prediction,F8,15,0,2413,0.0,9.652,306.0,315.652,9.652,0.35,0.9497312903404236,0.9940304160118103,2413
model_prediction,FT7,23,485,500,1.94,2.0,307.94,308.0,0.06,0.35,0.5191372632980347,0.6094526648521423,15
model_prediction,FT7,23,915,941,3.66,3.764,309.66,309.764,0.104,0.35,0.7499414086341858,0.8714556694030762,26
model_prediction,FT7,23,1455,1471,5.82,5.884,311.82,311.884,0.064,0.35,0.7782695293426514,0.8874660730361938,16
model_prediction,FT7,23,1975,2010,7.9,8.04,313.9,314.04,0.14,0.35,0.7974395155906677,0.9300453066825867,35
model_prediction,FT7,23,2267,2282,9.068,9.128,315.068,315.128,0.06,0.35,0.5257562398910522,0.6026126146316528,15
model_prediction,FT8,24,40,79,0.16,0.316,306.16,306.316,0.156,0.35,0.6325929164886475,0.7554816603660583,39
model_prediction,FT8,24,182,212,0.728,0.848,306.728,306.848,0.12,0.35,0.5607696175575256,0.6787379384040833,30
model_prediction,FT8,24,484,505,1.936,2.02,307.936,308.02,0.084,0.35,0.5861526727676392,0.727330207824707,21
model_prediction,FT8,24,706,724,2.824,2.896,308.824,308.896,0.072,0.35,0.40576231479644775,0.4558999836444855,18
model_prediction,FT8,24,917,946,3.668,3.784,309.668,309.784,0.116,0.35,0.6998320817947388,0.8953258395195007,29
model_prediction,FT8,24,1455,1474,5.82,5.896,311.82,311.896,0.076,0.35,0.6134788990020752,0.7500708103179932,19
model_prediction,FT8,24,1734,1772,6.936,7.088,312.936,313.088,0.152,0.35,0.6696708798408508,0.868264377117157,38
model_prediction,FT8,24,1981,2008,7.924,8.032,313.924,314.032,0.108,0.35,0.5967680811882019,0.7938697934150696,27
model_prediction,FT8,24,2252,2287,9.008,9.148,315.008,315.148,0.14,0.35,0.7315576672554016,0.8785340189933777,35
model_prediction,Cz,25,55,211,0.22,0.844,306.22,306.844,0.624,0.35,0.6306316256523132,0.9270578622817993,156
model_prediction,Cz,25,230,246,0.92,0.984,306.92,306.984,0.064,0.35,0.43340662121772766,0.5215228199958801,16
model_prediction,Cz,25,379,439,1.516,1.756,307.516,307.756,0.24,0.35,0.5391513109207153,0.6747989654541016,60
model_prediction,Cz,25,476,502,1.904,2.008,307.904,308.008,0.104,0.35,0.3950140178203583,0.42695149779319763,26
model_prediction,Cz,25,514,544,2.056,2.176,308.056,308.176,0.12,0.35,0.5155414342880249,0.6441848278045654,30
model_prediction,Cz,25,604,729,2.416,2.916,308.416,308.916,0.5,0.35,0.6478041410446167,0.9420570135116577,125
model_prediction,Cz,25,751,761,3.004,3.044,309.004,309.044,0.04,0.35,0.39509692788124084,0.44027429819107056,10
model_prediction,Cz,25,1176,1243,4.704,4.972,310.704,310.972,0.268,0.35,0.6450315713882446,0.8239803910255432,67
model_prediction,Cz,25,1445,1495,5.78,5.98,311.78,311.98,0.2,0.35,0.6530563831329346,0.9145298004150391,50
model_prediction,Cz,25,1713,1733,6.852,6.932,312.852,312.932,0.08,0.35,0.5361074209213257,0.6580222249031067,20
model_prediction,Cz,25,1740,1758,6.96,7.032,312.96,313.032,0.072,0.35,0.4207955598831177,0.4617944061756134,18
model_prediction,Cz,25,1958,1975,7.832,7.9,313.832,313.9,0.068,0.35,0.4171857535839081,0.5003610849380493,17
model_prediction,Cz,25,2340,2364,9.36,9.456,315.36,315.456,0.096,0.35,0.4411068856716156,0.5631000995635986,24
model_prediction,C3,28,58,257,0.232,1.028,306.232,307.028,0.796,0.35,0.5809241533279419,0.8268418908119202,199
model_prediction,C3,28,280,290,1.12,1.16,307.12,307.16,0.04,0.35,0.3650813102722168,0.3817616105079651,10
model_prediction,C3,28,348,371,1.392,1.484,307.392,307.484,0.092,0.35,0.44058895111083984,0.48616501688957214,23
model_prediction,C3,28,380,438,1.52,1.752,307.52,307.752,0.232,0.35,0.5986807346343994,0.7849449515342712,58
model_prediction,C3,28,487,820,1.948,3.28,307.948,309.28,1.332,0.35,0.6157163381576538,0.8072149157524109,333
model_prediction,C3,28,840,911,3.36,3.644,309.36,309.644,0.284,0.35,0.5681121945381165,0.7078592777252197,71
model_prediction,C3,28,937,1149,3.748,4.596,309.748,310.596,0.848,0.35,0.5811058878898621,0.7184267044067383,212
model_prediction,C3,28,1171,1249,4.684,4.996,310.684,310.996,0.312,0.35,0.5590161681175232,0.6567234992980957,78
model_prediction,C3,28,1258,1359,5.032,5.436,311.032,311.436,0.404,0.35,0.7041688561439514,0.8137339949607849,101
model_prediction,C3,28,1368,1508,5.472,6.032,311.472,312.032,0.56,0.35,0.6328807473182678,0.8522197008132935,140
model_prediction,C3,28,1549,1664,6.196,6.656,312.196,312.656,0.46,0.35,0.4870215356349945,0.7076635360717773,115
model_prediction,C3,28,1670,1985,6.68,7.94,312.68,313.94,1.26,0.35,0.5949091911315918,0.7837515473365784,315
model_prediction,C3,28,1993,2033,7.972,8.132,313.972,314.132,0.16,0.35,0.4735521376132965,0.6126765012741089,40
model_prediction,C3,28,2228,2259,8.912,9.036,314.912,315.036,0.124,0.35,0.49412307143211365,0.5990551114082336,31
model_prediction,C3,28,2291,2411,9.164,9.644,315.164,315.644,0.48,0.35,0.489543080329895,0.6464186310768127,120
model_prediction,C4,29,54,86,0.216,0.344,306.216,306.344,0.128,0.35,0.52005934715271,0.6276327967643738,32
model_prediction,C4,29,110,324,0.44,1.296,306.44,307.296,0.856,0.35,0.6064740419387817,0.9496894478797913,214
model_prediction,C4,29,348,462,1.392,1.848,307.392,307.848,0.456,0.35,0.589206337928772,0.781406581401825,114
model_prediction,C4,29,475,550,1.9,2.2,307.9,308.2,0.3,0.35,0.819713294506073,0.951789379119873,75
model_prediction,C4,29,590,726,2.36,2.904,308.36,308.904,0.544,0.35,0.6900839805603027,0.903499186038971,136
model_prediction,C4,29,734,818,2.936,3.272,308.936,309.272,0.336,0.35,0.5367646813392639,0.6716181635856628,84
model_prediction,C4,29,848,859,3.392,3.436,309.392,309.436,0.044,0.35,0.38199421763420105,0.41756731271743774,11
model_prediction,C4,29,920,1247,3.68,4.988,309.68,310.988,1.308,0.35,0.6642940640449524,0.8370925188064575,327
model_prediction,C4,29,1263,1283,5.052,5.132,311.052,311.132,0.08,0.35,0.4624088704586029,0.5369956493377686,20
model_prediction,C4,29,1447,1733,5.788,6.932,311.788,312.932,1.144,0.35,0.6761659383773804,0.9614556431770325,286
model_prediction,C4,29,1747,1763,6.988,7.052,312.988,313.052,0.064,0.35,0.5281624794006348,0.6563704609870911,16
model_prediction,C4,29,1928,2027,7.712,8.108,313.712,314.108,0.396,0.35,0.637241542339325,0.8710057139396667,99
model_prediction,C4,29,2224,2242,8.896,8.968,314.896,314.968,0.072,0.35,0.48894834518432617,0.6158111691474915,18
model_prediction,C4,29,2348,2374,9.392,9.496,315.392,315.496,0.104,0.35,0.4711678922176361,0.5536319017410278,26
model_prediction,C4,29,2381,2400,9.524,9.6,315.524,315.6,0.076,0.35,0.44968098402023315,0.5276139974594116,19
model_prediction,T7,32,22,327,0.088,1.308,306.088,307.308,1.22,0.35,0.910510241985321,0.9928939938545227,305
model_prediction,T7,32,348,2444,1.392,9.776,307.392,315.776,8.384,0.35,0.8918943405151367,0.9968799352645874,2096
model_prediction,T8,33,5,103,0.02,0.412,306.02,306.412,0.392,0.35,0.6264904737472534,0.9455172419548035,98
model_prediction,T8,33,110,328,0.44,1.312,306.44,307.312,0.872,0.35,0.8689724802970886,0.9826934337615967,218
