manual_interval_id,predicted_interval_id,window_index,channel_index,channel,manual_start_seconds_in_recording,manual_end_seconds_in_recording,predicted_start_seconds_in_recording,predicted_end_seconds_in_recording,manual_duration_seconds,predicted_duration_seconds,overlap_seconds,union_seconds,interval_iou,interval_dice,start_error_seconds,end_error_seconds,center_error_seconds,duration_error_seconds,predicted_mean_probability,predicted_max_probability
manual_ground_truth_w0060_c01_i000,m3_improved_prediction_w0060_c01_i013,60,1,Fp1,306.504,310.0,307.368,309.116,3.4960000000000004,1.7479999999999993,1.7479999999999905,3.495999999999981,0.5,0.6666666666666631,0.8639999999999759,0.8840000000000146,0.010000000000047748,1.748000000000001,0.9114469885826111,0.9881095290184021
manual_ground_truth_w0060_c02_i000,m3_improved_prediction_w0060_c02_i015,60,2,Fp2,306.504,310.0,305.52,309.12,3.4960000000000004,3.5999999999999996,2.6159999999999854,4.480000000000018,0.5839285714285658,0.7373167981961627,0.9840000000000373,0.8799999999999955,0.9320000000000164,0.1039999999999992,0.9188046455383301,0.9771965742111206
manual_ground_truth_w0060_c07_i000,m3_improved_prediction_w0060_c07_i013,60,7,Fz,306.504,310.0,307.944,309.0,3.4960000000000004,1.056,1.0559999999999832,3.495999999999981,0.3020594965675026,0.46397188049208393,1.4399999999999977,1.0,0.21999999999997044,2.4400000000000004,0.8335299491882324,0.9476304054260254
manual_ground_truth_w0060_c10_i000,m3_improved_prediction_w0060_c10_i007,60,10,F3,306.504,310.0,307.388,309.452,3.4960000000000004,2.064,2.0640000000000214,3.495999999999981,0.590389016018316,0.7424460431654752,0.8839999999999577,0.5480000000000018,0.16799999999994952,1.4320000000000004,0.7923582196235657,0.9555855989456177
manual_ground_truth_w0060_c11_i000,m3_improved_prediction_w0060_c11_i010,60,11,F4,306.504,310.0,307.384,309.396,3.4960000000000004,2.0120000000000005,2.0120000000000005,3.495999999999981,0.5755148741418797,0.7305737109658679,0.8799999999999955,0.603999999999985,0.1379999999999768,1.484,0.7446609139442444,0.9500773549079895
manual_ground_truth_w0060_c14_i000,m3_improved_prediction_w0060_c14_i026,60,14,F7,306.504,310.0,307.36,309.972,3.4960000000000004,2.611999999999999,2.6119999999999663,3.495999999999981,0.7471395881006809,0.8552717747216655,0.8559999999999945,0.02800000000002001,0.41399999999998727,0.8840000000000012,0.9422394037246704,0.979176938533783
manual_ground_truth_w0060_c15_i000,m3_improved_prediction_w0060_c15_i011,60,15,F8,306.504,310.0,307.748,309.436,3.4960000000000004,1.6879999999999997,1.6879999999999882,3.495999999999981,0.48283752860411827,0.65123456790123,1.2439999999999714,0.5640000000000214,0.339999999999975,1.8080000000000007,0.9393092393875122,0.9917609691619873
manual_ground_truth_w0060_c25_i000,m3_improved_prediction_w0060_c25_i011,60,25,Cz,306.504,310.0,306.92,307.092,3.4960000000000004,0.1719999999999997,0.17199999999996862,3.495999999999981,0.04919908466818351,0.09378407851688583,0.4159999999999968,2.9080000000000155,1.2460000000000377,3.3240000000000007,0.5219005346298218,0.6558843851089478
manual_ground_truth_w0060_c28_i000,m3_improved_prediction_w0060_c28_i010,60,28,C3,306.504,310.0,308.056,308.924,3.4960000000000004,0.8680000000000003,0.867999999999995,3.495999999999981,0.24828375286041182,0.39780018331805445,1.551999999999964,1.0760000000000218,0.23799999999999955,2.628,0.5170267224311829,0.7588648796081543
manual_ground_truth_w0060_c29_i000,m3_improved_prediction_w0060_c29_i020,60,29,C4,306.504,310.0,307.88,308.44,3.4960000000000004,0.5599999999999996,0.5600000000000023,3.495999999999981,0.1601830663615576,0.2761341222879696,1.3759999999999764,1.5600000000000023,0.09200000000004138,2.936000000000001,0.5624562501907349,0.8604084253311157
manual_ground_truth_w0060_c32_i000,m3_improved_prediction_w0060_c32_i012,60,32,T7,306.504,310.0,307.364,309.908,3.4960000000000004,2.5439999999999996,2.5440000000000396,3.495999999999981,0.72768878718537,0.842384105960278,0.8599999999999568,0.09199999999998454,0.3839999999999577,0.9520000000000008,0.9483872056007385,0.9928653240203857
manual_ground_truth_w0060_c33_i000,m3_improved_prediction_w0060_c33_i016,60,33,T8,306.504,310.0,307.36,309.172,3.4960000000000004,1.8120000000000003,1.8120000000000118,3.495999999999981,0.5183066361556126,0.682743029389605,0.8559999999999945,0.8279999999999745,0.014000000000010004,1.6840000000000002,0.9039241671562195,0.9837532043457031
manual_ground_truth_w0060_c47_i000,m3_improved_prediction_w0060_c47_i001,60,47,P7,306.504,310.0,306.892,306.948,3.4960000000000004,0.05600000000000005,0.055999999999983174,3.495999999999981,0.01601830663615088,0.03153153153152205,0.3879999999999768,3.052000000000021,1.3320000000000505,3.4400000000000004,0.49384182691574097,0.5817976593971252
manual_ground_truth_w0060_c48_i000,m3_improved_prediction_w0060_c48_i000,60,48,P8,306.504,310.0,306.9,306.92,3.4960000000000004,0.019999999999999574,0.020000000000038654,3.495999999999981,0.0057208237986380904,0.011376564277610156,0.39599999999995816,3.079999999999984,1.3420000000000414,3.476000000000001,0.37950384616851807,0.41311320662498474
