interval_id,source,window_index,channel_index,channel,start_sample_in_window,stop_sample_in_window_exclusive,start_seconds_in_window,end_seconds_in_window,start_seconds_in_recording,end_seconds_in_recording,duration_seconds,mean_probability,max_probability
manual_ground_truth_w0078_c07_i000,manual_ground_truth,78,7,Fz,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c10_i000,manual_ground_truth,78,10,F3,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c11_i000,manual_ground_truth,78,11,F4,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c14_i000,manual_ground_truth,78,14,F7,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c15_i000,manual_ground_truth,78,15,F8,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c25_i000,manual_ground_truth,78,25,Cz,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c28_i000,manual_ground_truth,78,28,C3,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c29_i000,manual_ground_truth,78,29,C4,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c32_i000,manual_ground_truth,78,32,T7,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0078_c33_i000,manual_ground_truth,78,33,T8,0,932,0.0,3.728,390.0,393.728,3.728,,
manual_ground_truth_w0083_c11_i000,manual_ground_truth,83,11,F4,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c14_i000,manual_ground_truth,83,14,F7,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c15_i000,manual_ground_truth,83,15,F8,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c42_i000,manual_ground_truth,83,42,Pz,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c43_i000,manual_ground_truth,83,43,P3,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c44_i000,manual_ground_truth,83,44,P4,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c47_i000,manual_ground_truth,83,47,P7,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c57_i000,manual_ground_truth,83,57,O1,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0083_c58_i000,manual_ground_truth,83,58,O2,1645,2478,6.58,9.912,421.58,424.912,3.3320000000000007,,
manual_ground_truth_w0084_c25_i000,manual_ground_truth,84,25,Cz,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c28_i000,manual_ground_truth,84,28,C3,395,1228,1.58,4.912,421.58,424.912,3.332,,
manual_ground_truth_w0084_c28_i001,manual_ground_truth,84,28,C3,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c29_i000,manual_ground_truth,84,29,C4,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c33_i001,manual_ground_truth,84,33,T8,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c42_i000,manual_ground_truth,84,42,Pz,395,1228,1.58,4.912,421.58,424.912,3.332,,
manual_ground_truth_w0084_c42_i001,manual_ground_truth,84,42,Pz,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c43_i000,manual_ground_truth,84,43,P3,395,1228,1.58,4.912,421.58,424.912,3.332,,
manual_ground_truth_w0084_c43_i001,manual_ground_truth,84,43,P3,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c44_i000,manual_ground_truth,84,44,P4,395,1228,1.58,4.912,421.58,424.912,3.332,,
manual_ground_truth_w0084_c44_i001,manual_ground_truth,84,44,P4,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c47_i001,manual_ground_truth,84,47,P7,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c48_i000,manual_ground_truth,84,48,P8,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c57_i000,manual_ground_truth,84,57,O1,395,1228,1.58,4.912,421.58,424.912,3.332,,
manual_ground_truth_w0084_c57_i001,manual_ground_truth,84,57,O1,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0084_c58_i000,manual_ground_truth,84,58,O2,395,1228,1.58,4.912,421.58,424.912,3.332,,
manual_ground_truth_w0084_c58_i001,manual_ground_truth,84,58,O2,1952,2500,7.808,10.0,427.808,430.0,2.192,,
manual_ground_truth_w0085_c25_i000,manual_ground_truth,85,25,Cz,702,1450,2.808,5.8,427.808,430.8,2.992,,
manual_ground_truth_w0085_c25_i001,manual_ground_truth,85,25,Cz,2173,2500,8.692,10.0,433.692,435.0,1.3079999999999998,,
manual_ground_truth_w0085_c42_i000,manual_ground_truth,85,42,Pz,702,1450,2.808,5.8,427.808,430.8,2.992,,
manual_ground_truth_w0085_c42_i001,manual_ground_truth,85,42,Pz,2173,2500,8.692,10.0,433.692,435.0,1.3079999999999998,,
manual_ground_truth_w0085_c43_i000,manual_ground_truth,85,43,P3,702,1450,2.808,5.8,427.808,430.8,2.992,,
manual_ground_truth_w0085_c44_i000,manual_ground_truth,85,44,P4,702,1450,2.808,5.8,427.808,430.8,2.992,,
manual_ground_truth_w0085_c44_i001,manual_ground_truth,85,44,P4,2173,2500,8.692,10.0,433.692,435.0,1.3079999999999998,,
manual_ground_truth_w0085_c57_i000,manual_ground_truth,85,57,O1,702,1450,2.808,5.8,427.808,430.8,2.992,,
manual_ground_truth_w0085_c57_i001,manual_ground_truth,85,57,O1,2173,2500,8.692,10.0,433.692,435.0,1.3079999999999998,,
manual_ground_truth_w0085_c58_i000,manual_ground_truth,85,58,O2,702,1450,2.808,5.8,427.808,430.8,2.992,,
manual_ground_truth_w0085_c58_i001,manual_ground_truth,85,58,O2,2173,2500,8.692,10.0,433.692,435.0,1.3079999999999998,,
manual_ground_truth_w0086_c02_i002,manual_ground_truth,86,2,Fp2,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c07_i000,manual_ground_truth,86,7,Fz,0,200,0.0,0.8,430.0,430.8,0.8,,
manual_ground_truth_w0086_c07_i002,manual_ground_truth,86,7,Fz,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c11_i000,manual_ground_truth,86,11,F4,0,200,0.0,0.8,430.0,430.8,0.8,,
manual_ground_truth_w0086_c11_i002,manual_ground_truth,86,11,F4,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c14_i002,manual_ground_truth,86,14,F7,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c15_i002,manual_ground_truth,86,15,F8,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c25_i000,manual_ground_truth,86,25,Cz,0,200,0.0,0.8,430.0,430.8,0.8,,
manual_ground_truth_w0086_c25_i001,manual_ground_truth,86,25,Cz,923,1719,3.692,6.876,433.692,436.876,3.184,,
manual_ground_truth_w0086_c25_i002,manual_ground_truth,86,25,Cz,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c28_i000,manual_ground_truth,86,28,C3,0,200,0.0,0.8,430.0,430.8,0.8,,
manual_ground_truth_w0086_c28_i001,manual_ground_truth,86,28,C3,923,1719,3.692,6.876,433.692,436.876,3.184,,
manual_ground_truth_w0086_c28_i002,manual_ground_truth,86,28,C3,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c29_i002,manual_ground_truth,86,29,C4,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c32_i002,manual_ground_truth,86,32,T7,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c33_i002,manual_ground_truth,86,33,T8,2394,2500,9.576,10.0,439.576,440.0,0.4239999999999995,,
manual_ground_truth_w0086_c42_i000,manual_ground_truth,86,42,Pz,0,200,0.0,0.8,430.0,430.8,0.8,,
