interval_id,source,window_index,channel_index,channel,start_sample_in_window,stop_sample_in_window_exclusive,start_seconds_in_window,end_seconds_in_window,start_seconds_in_recording,end_seconds_in_recording,duration_seconds,mean_probability,max_probability
manual_ground_truth_w0060_c01_i000,manual_ground_truth,60,1,Fp1,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c02_i000,manual_ground_truth,60,2,Fp2,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c07_i000,manual_ground_truth,60,7,Fz,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c10_i000,manual_ground_truth,60,10,F3,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c11_i000,manual_ground_truth,60,11,F4,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c14_i000,manual_ground_truth,60,14,F7,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c15_i000,manual_ground_truth,60,15,F8,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c25_i000,manual_ground_truth,60,25,Cz,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c28_i000,manual_ground_truth,60,28,C3,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c29_i000,manual_ground_truth,60,29,C4,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c32_i000,manual_ground_truth,60,32,T7,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c33_i000,manual_ground_truth,60,33,T8,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c47_i000,manual_ground_truth,60,47,P7,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0060_c48_i000,manual_ground_truth,60,48,P8,1626,2500,6.504,10.0,306.504,310.0,3.4960000000000004,,
manual_ground_truth_w0061_c01_i000,manual_ground_truth,61,1,Fp1,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
manual_ground_truth_w0061_c02_i000,manual_ground_truth,61,2,Fp2,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
manual_ground_truth_w0061_c07_i000,manual_ground_truth,61,7,Fz,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
manual_ground_truth_w0061_c10_i000,manual_ground_truth,61,10,F3,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
manual_ground_truth_w0061_c11_i000,manual_ground_truth,61,11,F4,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
manual_ground_truth_w0061_c14_i000,manual_ground_truth,61,14,F7,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
manual_ground_truth_w0061_c15_i000,manual_ground_truth,61,15,F8,376,2486,1.504,9.944,306.504,314.944,8.440000000000001,,
