method,description,experiment,fold,heldout_subjects,postprocessing,selected_threshold,selected_smoothing_seconds,validation_dice,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_windows,status,notes
random_split_unet,Random-initialized Split U-Net,CV_RANDOM_fold0_subjectwise,fold0,"sub-1, sub-10, sub-15, sub-20, sub-25, sub-30",threshold only,0.4,,0.4210077842901435,0.388111821457836,0.24078085975471017,0.3916794906013617,0.3846085589156171,0.947051133737324,8265,available,Threshold selected on validation only.
random_split_unet,Random-initialized Split U-Net,CV_RANDOM_fold1_subjectwise,fold1,"sub-2, sub-11, sub-16, sub-21, sub-26, sub-29",threshold only,0.25,,0.438343501628133,0.3537778168532855,0.21490283661288517,0.29672721074571234,0.43798811726773923,0.9369590657471119,8518,available,Threshold selected on validation only.
random_split_unet,Random-initialized Split U-Net,CV_RANDOM_fold2_subjectwise,fold2,"sub-3, sub-12, sub-17, sub-22, sub-27",threshold only,0.25,,0.45277438123757646,0.3883274856104751,0.24094689345593706,0.3933095032046973,0.3834701028528637,0.9536468949586883,6868,available,Threshold selected on validation only.
random_split_unet,Random-initialized Split U-Net,CV_RANDOM_fold3_subjectwise,fold3,"sub-5, sub-13, sub-18, sub-23, sub-28",threshold only,0.4,,0.4200949067760892,0.41589070788259525,0.26253915051952864,0.39644939863973355,0.43733709083982336,0.9438116606396946,6829,available,Threshold selected on validation only.
random_split_unet,Random-initialized Split U-Net,CV_RANDOM_fold4_subjectwise,fold4,"sub-7, sub-9, sub-14, sub-19, sub-24",threshold only,0.4,,0.42747946903083994,0.3949150362300255,0.2460399574751863,0.4200997629083225,0.3725791420293625,0.9506468858723974,6830,available,Threshold selected on validation only.
m3_flowinit_split_unet,Split U-Net initialized from M3 flow-matching checkpoint,CV_M3_fold0_subjectwise,fold0,"sub-1, sub-10, sub-15, sub-20, sub-25, sub-30",threshold only,0.5,,0.4224300725601062,0.3910607911017794,0.24305504455297128,0.4081045825325332,0.37538353824496884,0.9489580313144053,8265,available,Threshold selected on validation only.
m3_flowinit_split_unet,Split U-Net initialized from M3 flow-matching checkpoint,CV_M3_fold1_subjectwise,fold1,"sub-2, sub-11, sub-16, sub-21, sub-26, sub-29",threshold only,0.5,,0.4089914073999522,0.3163994125776231,0.18793021037254232,0.2572923508645621,0.41076282211860915,0.930069451331378,8518,available,Threshold selected on validation only.
m3_flowinit_split_unet,Split U-Net initialized from M3 flow-matching checkpoint,CV_M3_fold2_subjectwise,fold2,"sub-3, sub-12, sub-17, sub-22, sub-27",threshold only,0.2,,0.3910657962617379,0.34865470819891864,0.21113374042968905,0.32531030102224423,0.3756085385424959,0.946150994541129,6868,available,Threshold selected on validation only.
m3_flowinit_split_unet,Split U-Net initialized from M3 flow-matching checkpoint,CV_M3_fold3_subjectwise,fold3,"sub-5, sub-13, sub-18, sub-23, sub-28",threshold only,0.5,,0.42682861451614035,0.4217622160669901,0.26723616704698805,0.40566466961520353,0.43919011606433866,0.9449184261536667,6829,available,Threshold selected on validation only.
m3_flowinit_split_unet,Split U-Net initialized from M3 flow-matching checkpoint,CV_M3_fold4_subjectwise,fold4,"sub-7, sub-9, sub-14, sub-19, sub-24",threshold only,0.45,,0.40628013201570834,0.3701293324817665,0.22709122868341075,0.3972136498945159,0.3465027749747266,0.9490213971263369,6830,available,Threshold selected on validation only.
m3_flowinit_split_unet_smoothing,M3 flow-initialized Split U-Net plus validation-selected temporal smoothing,CV_M3_fold0_subjectwise,fold0,"sub-1, sub-10, sub-15, sub-20, sub-25, sub-30",validation-selected smoothing + threshold,0.45,0.204,0.4380549843855692,0.40611421593085356,0.2547950549468201,0.4180103539858896,0.3948764447683603,0.9495758606334656,8265,available,Smoothing window and threshold selected on validation only.
m3_flowinit_split_unet_smoothing,M3 flow-initialized Split U-Net plus validation-selected temporal smoothing,CV_M3_fold1_subjectwise,fold1,"sub-2, sub-11, sub-16, sub-21, sub-26, sub-29",validation-selected smoothing + threshold,0.45,0.204,0.42717889182599633,0.32945200930821367,0.19721193952158486,0.2648257535219317,0.4358021753359569,0.930106603364361,8518,available,Smoothing window and threshold selected on validation only.
m3_flowinit_split_unet_smoothing,M3 flow-initialized Split U-Net plus validation-selected temporal smoothing,CV_M3_fold2_subjectwise,fold2,"sub-3, sub-12, sub-17, sub-22, sub-27",validation-selected smoothing + threshold,0.2,0.204,0.4087391019456752,0.36806678898564155,0.22554035085594146,0.33648130371131885,0.4061964301301806,0.9464811051992538,6868,available,Smoothing window and threshold selected on validation only.
m3_flowinit_split_unet_smoothing,M3 flow-initialized Split U-Net plus validation-selected temporal smoothing,CV_M3_fold3_subjectwise,fold3,"sub-5, sub-13, sub-18, sub-23, sub-28",validation-selected smoothing + threshold,0.45,0.204,0.4427205486001356,0.4353936085796458,0.2782767672221984,0.41412223442986706,0.45896851011840506,0.9455545467857666,6829,available,Smoothing window and threshold selected on validation only.
m3_flowinit_split_unet_smoothing,M3 flow-initialized Split U-Net plus validation-selected temporal smoothing,CV_M3_fold4_subjectwise,fold4,"sub-7, sub-9, sub-14, sub-19, sub-24",validation-selected smoothing + threshold,0.4,0.204,0.42264291963121037,0.3860481456063997,0.23919433814303406,0.40350964088269126,0.37003522383595916,0.9491232637665334,6830,available,Smoothing window and threshold selected on validation only.
