epoch,train_loss,validation_loss,validation_dice,validation_iou,validation_f1,validation_precision,validation_recall_sensitivity,validation_specificity,test_loss,test_dice,test_iou,test_f1,test_precision,test_recall_sensitivity,test_specificity,test_accuracy
1,1.0339373905925622,0.9603111594995749,0.3049123662759973,0.17988000160565368,0.30491236627599727,0.32156256462542315,0.2899015448834714,0.9718326265500752,1.0133610172609313,0.3408857317610594,0.20546247976210283,0.34088573176105935,0.35850271666649475,0.32491906273039073,0.9726541092491305,0.9435569221538923
2,0.9136816219548854,0.9260170650572179,0.3270171835216108,0.19546954116957307,0.32701718352161085,0.4228490592621984,0.2665972452099942,0.983242423962966,0.992393335409924,0.3583975662943348,0.2183217805576149,0.35839756629433484,0.4945627966722177,0.2810246177517069,0.9864915773653897,0.9548009899505024
3,0.8800690744157168,0.9198471758619778,0.333952797499185,0.20044618003493908,0.333952797499185,0.44233725643725824,0.2682294162391287,0.9844268661061267,0.9964855645610168,0.35341257556233596,0.21463335035674286,0.3534125755623359,0.48628531917855816,0.27756942441046684,0.9862083268734548,0.9543752512374382
4,0.8564121458097677,0.9017609426406525,0.3425360506896353,0.2066627457159217,0.3425360506896352,0.3590081558742246,0.32750918924940176,0.9730708168072107,0.9795950856883969,0.3635892399661347,0.22218702592655298,0.3635892399661347,0.37463032604976776,0.35318032716821063,0.9722703170822473,0.9444599070046498
5,0.8393570440773738,0.8963082098133719,0.36008349061192435,0.21957428231897438,0.3600834906119243,0.38983186542008225,0.33455345460468444,0.975884892179366,0.9728273628032313,0.37604612572964846,0.23156207309065804,0.3760461257296484,0.4092184290018344,0.34784861792266353,0.9763801818381468,0.9481456427178641
6,0.8277259510234135,0.9598713109610257,0.2894345739805623,0.16920403603274592,0.2894345739805624,0.2802906833840594,0.29919518391481764,0.9646202660498624,1.0329728036855175,0.29634690271733855,0.17394791415577146,0.29634690271733855,0.30129879988682085,0.291555144191215,0.9681998397866368,0.9378039898005099
7,0.8158953425445247,0.9021424263603242,0.32008291835865976,0.19053495071669077,0.32008291835865976,0.45841848335090396,0.24588341945546982,0.9866222689559091,0.9953084857062956,0.3114361669700518,0.18443849197647016,0.3114361669700518,0.48093517303323147,0.23027788462565846,0.9883103420288952,0.9542584370781461
8,0.8116348244911993,0.8874627063541388,0.35055873189496356,0.2125318061780421,0.35055873189496356,0.39847866739752297,0.312927001613707,0.9782459311609414,0.9813677636922988,0.3527040771245246,0.21411093916195328,0.3527040771245246,0.40358769475940487,0.31321454520199593,0.9782296649515427,0.9483562321883906
9,0.8028251431959863,0.8822909586939176,0.3475875492839958,0.21035156757223855,0.3475875492839959,0.4056877602201624,0.3040441389582928,0.9794878630445686,0.9613775241691455,0.36683037961899984,0.22461254179674392,0.36683037961899984,0.41308463419284275,0.3298914959771773,0.977954392461931,0.9488424778761062
10,0.798106113857795,0.9053133619403788,0.35898812405313757,0.218760223076388,0.35898812405313757,0.33837353476594945,0.3822774534068196,0.9655771624846319,0.989103443854678,0.36637798257795734,0.22427341127302178,0.36637798257795734,0.3473581400693261,0.38760137192678784,0.9657471066235511,0.93977597120144
